employee_id,name,department,role,hire_date,manager_id,termination_date,status,previous_role,role_changed_on
E0001,Rachel Chong,Finance,AP Clerk,2012-11-14,E0209,,Active,,
E0002,Mei Yee Lee,Finance,AP Clerk,2015-08-30,E0197,,Active,,
E0003,Jun Hao Menon,Finance,AP Clerk,2014-12-13,E0194,,Active,,
E0004,Chee Keong Wong,Finance,AP Clerk,2020-03-28,E0197,,Active,,
E0005,Nadia Wong,Finance,AP Clerk,2013-07-01,E0190,2026-02-16,Terminated,,
E0006,Daniel Ng,Finance,AP Clerk,2018-07-26,E0207,,Active,,
E0007,Syafiq bin Hassan,Finance,AP Clerk,2025-03-07,E0208,,Active,,
E0008,Suresh Kumar,Finance,AP Clerk,2017-04-24,E0194,,Active,,
E0009,Kai Xin Ng,Finance,AP Clerk,2014-05-30,E0199,,Active,,
E0010,Daniel Raj,Finance,AP Clerk,2014-02-05,E0204,,Active,,
E0011,Zahra Wong,Finance,AP Clerk,2016-06-10,E0197,,Active,,
E0012,Kavitha Fernandez,Finance,AP Clerk,2022-08-21,E0197,2025-04-18,Terminated,,
E0013,Siew Mun binti Omar,Finance,AP Clerk,2014-08-19,E0192,,Active,,
E0014,Ahmad Chong,Finance,AR Clerk,2024-11-09,E0199,,Active,AP Clerk,2025-10-17
E0015,Firdaus Wong,Finance,AP Clerk,2020-12-30,E0192,,Active,,
E0016,Firdaus Lim,Finance,AP Clerk,2024-02-18,E0199,,Active,,
E0017,Li Wen bin Abdullah,Finance,AP Clerk,2015-02-18,E0191,,Active,,
E0018,Farah binti Yusof,Finance,AP Clerk,2022-10-02,E0210,,Active,,
E0019,Siew Mun Fernandez,Finance,AR Clerk,2014-09-26,E0197,,Active,AP Clerk,2025-08-22
E0020,Zahra bin Rahman,Finance,AP Clerk,2018-06-10,E0208,2025-07-20,Terminated,,
E0021,Ahmad binti Omar,Finance,AP Clerk,2017-09-29,E0201,2020-01-28,Terminated,,
E0022,Rachel Lee,Finance,AP Clerk,2024-09-05,E0197,,Active,,
E0023,Adrian binti Omar,Finance,AP Clerk,2018-10-12,E0197,2022-03-02,Terminated,,
E0024,Kai Xin binti Yusof,Finance,AP Clerk,2024-07-20,E0201,,Active,,
E0025,Siew Mun binti Yusof,Finance,AP Clerk,2020-06-10,E0196,,Active,,
E0026,Kavitha Ng,Finance,AP Clerk,2012-08-24,E0190,2020-08-18,Terminated,,
E0027,Adrian Wong,Finance,AP Clerk,2018-11-18,E0206,,Active,,
E0028,Chee Keong Anak Jelani,Finance,AP Clerk,2015-04-28,E0191,,Active,,
E0029,Kai Xin binti Omar,Finance,AP Clerk,2012-05-12,E0210,,Active,,
E0030,Firdaus Kumar,Finance,AP Clerk,2014-08-20,E0210,,Active,,
E0031,Adrian bin Rahman,Finance,AP Clerk,2024-09-15,E0201,,Active,,
E0032,Nadia Lim,Finance,AP Clerk,2020-12-26,E0194,,Active,,
E0033,Ganesh Kumar,Finance,AP Clerk,2020-03-17,E0199,,Active,,
E0034,Deepa bin Hassan,Finance,AP Clerk,2024-06-08,E0196,,Active,,
E0035,Firdaus Tan,Finance,AP Clerk,2018-09-09,E0190,,Active,,
E0036,Adrian Ng,Finance,AP Clerk,2012-12-06,E0199,,Active,,
E0037,Ahmad Pillai,Finance,AP Clerk,2012-10-24,E0201,2020-12-15,Terminated,,
E0038,Arun Lim,Finance,AP Clerk,2015-09-08,E0208,,Active,,
E0039,Ganesh Wong,Finance,AP Clerk,2024-05-17,E0190,,Active,,
E0040,Syafiq binti Yusof,Finance,AP Clerk,2022-05-26,E0200,,Active,,
E0041,Aisyah Kumar,Finance,AP Clerk,2019-02-08,E0205,2026-05-24,Terminated,,
E0042,Ganesh Kumar,Finance,AP Clerk,2024-04-24,E0193,,Active,,
E0043,Firdaus bin Abdullah,Finance,AP Clerk,2018-03-25,E0207,,Active,,
E0044,Syafiq Raj,Finance,AP Clerk,2015-03-21,E0194,,Active,,
E0045,Yee Han Fernandez,Finance,AP Clerk,2014-11-18,E0203,,Active,,
E0046,Izzati Wong,Finance,AP Clerk,2021-03-04,E0210,,Active,,
E0047,Zahra Kumar,Finance,AP Clerk,2014-03-22,E0195,,Active,,
